id,project name,description,url,date added
2,Freeboard plugin for MongoDB,A Freeboard plugin for MongoDB.<br>This plugin enables Freeboard to retrieve latest data every specified interval from MongoDB via the RESTHeart a REST API server for MongoDB.,https://github.com/Hitachi-Data-Systems/Freeboard-plugin-for-MongoDB,2016/5/5
3,HCP Anywhere FSS & SDK,The HCP Anywhere File Sync and Share API is an API for connecting to HCP Anywhere. This SDK provides convenient access to the HCP Anywhere FSS API.,https://github.com/Hitachi-Data-Systems/anywhere-fss-sdk,2016/5/5
4,Ivy,ivy project.,https://github.com/Hitachi-Data-Systems/ivy,2016/5/5
5,Point In Time Backup Scripting,A set of scripts to perform point-in-time snapshot backups with Hitachi Data Systems in-system replication and Microsoft SQL Server. Formerly known as SplitSec4ond.,https://github.com/Hitachi-Data-Systems/Point-In-Time-Backup-Scripting,2016/5/5
6,Comet,Comet is a Custom Object Metadata Enhancement Toolkit.,https://github.com/Hitachi-Data-Systems/comet,2016/5/5
7,Librsync Wrapper,A thin Java JNI wrapper around the C librsync library; making it easy to use the librsync library from Java code.,https://github.com/Hitachi-Data-Systems/librsyncWrapper,2016/5/5
8,Hitachi OpenStack Cinder Driver,Hitachi storage volume driver for OpenStack Cinder.,https://github.com/openstack/cinder/tree/master/cinder/volume/drivers/hitachi,2016/5/5
9,Hitachi OpenStack Manila Driver,HDS HNAS Driver for OpenStack Manila.,https://github.com/openstack/manila/tree/master/manila/share/drivers/hitachi,2016/5/5
10, LUN Discovery, LUN Discovery Tool.,https://github.com/Hitachi-Data-Systems/LUN_discovery,2016/5/13
11, Org Chart Builder, Tool to generate Org Chart PPTs from a source spreadsheet.,https://github.com/Hitachi-Data-Systems/org-chart-builder, 2016/5/26
